path,line,marker,classification,reason,excerpt
contrib/cmdclient/console.py,38,TODO,defer,non-runtime debt marker,# TODO: The concept of trusted identity servers has been deprecated. This option and checks
contrib/cmdclient/console.py,270,TODO,defer,non-runtime debt marker,# TODO: Update to use v2 Identity Service API endpoint
contrib/cmdclient/console.py,305,TODO,defer,non-runtime debt marker,# TODO: Update to use v2 Identity Service API endpoint
contrib/cmdclient/console.py,334,TODO,defer,non-runtime debt marker,# TODO: Update to use v2 Identity Service API endpoint
contrib/cmdclient/console.py,403,TODO,defer,non-runtime debt marker,# TODO: Update to use v2 Identity Service API endpoint
contrib/cmdclient/console.py,413,TODO,defer,non-runtime debt marker,# TODO: Update to use v2 Identity Service API endpoint
contrib/vertobot/bot.pl,125,XXX,defer,non-runtime debt marker,# XXX: compare call IDs
contrib/vertobot/bot.pl,143,XXX,defer,non-runtime debt marker,# XXX: assumes audio comes first
contrib/vertobot/bot.pl,279,HACK,defer,non-runtime debt marker,# HACK HACK HACK HACK
contrib/vertobot/bridge.pl,156,XXX,defer,non-runtime debt marker,#     # XXX: this could fire for both matrix->verto and verto->matrix calls
contrib/vertobot/bridge.pl,161,XXX,defer,non-runtime debt marker,#     # XXX: compare call IDs
contrib/vertobot/bridge.pl,169,XXX,defer,non-runtime debt marker,#         # XXX: collate using the right m= line - for now assume audio call
debian/build_virtualenv,24,TODO,defer,non-runtime debt marker,"# TODO: add similar things for non-amd64, or figure out a more generic way to"
docker/Dockerfile-dhvirtualenv,40,TODO,defer,non-runtime debt marker,# Debian sid. TODO: Switch back to upstream once https://github.com/spotify/dh-virtualenv/pull/354 has merged.
docker/Dockerfile-dhvirtualenv,68,TODO,defer,non-runtime debt marker,# TODO: it would be nice to do that automatically.
docs/changelogs/CHANGES-2022.md,1388,TODO,defer,documentation follow-up,- Faster joins: add issue links to the TODO comments in the code. ([\#13004](https://github.com/matrix-org/synapse/issues/13004))
docs/development/blackout_backend_plan_tracker.md,202,TODO,defer,documentation follow-up,## 9) Existing code TODO/FIXME alignment map (initial seed)
docs/development/blackout_backend_plan_tracker.md,206,TODO,defer,documentation follow-up,- [ ] `faster_joins` TODO cluster (federation partial-state behavior)
docs/development/blackout_backend_plan_tracker.md,208,TODO,defer,documentation follow-up,"- [ ] Sync TODO/FIXME cluster (`compute_state_delta`, summary behavior)"
docs/development/blackout_backend_plan_tracker.md,210,TODO,defer,documentation follow-up,- [ ] Storage/search/media TODO/FIXME clusters
docs/development/blackout_backend_plan_tracker.md,212,TODO,defer,documentation follow-up,- [ ] Tracker-tagged TODOs (`TODO(owner)`)
docs/development/database_schema.md,390,TODO,defer,documentation follow-up,**TODO:** It may be possible to relax this and drop the column straight away as long as the previous version of Synapse detected a rollback occurred and stopped attempting to write to the column. This could possibly be done by checking whether the database's schema compatibility version was `S + 3`.
docs/development/room-dag-concepts.md,112,TODO,defer,documentation follow-up,TODO: `state_group_edges` is a further optimization...
docs/development/synapse_architecture/faster_joins.md,180,TODO,defer,documentation follow-up,\[**TODO:** Does Synapse persist a new state group for the full state
docs/development/synapse_architecture/faster_joins.md,255,TODO,defer,documentation follow-up,**TODO:** needs prose fleshing out.
docs/development/synapse_architecture/faster_joins.md,260,TODO,defer,documentation follow-up,**TODO** what do we do here if we have full state?
docs/development/synapse_architecture/faster_joins.md,279,TODO,defer,documentation follow-up,**TODO:** needs prose fleshing out. Liase with Matthieu. Explain why /send_join
docs/development/synapse_architecture/faster_joins.md,373,TODO,defer,documentation follow-up,**TODO**: what cleanup is necessary? Is it all just nice-to-have to save unused
docs/project_completion_tracker.md,15,NotImplementedError,intentional,abstract/interface placeholder or guarded exceptional path,- No runtime-critical `NotImplementedError` branches remain unresolved.
docs/project_completion_tracker.md,42,NotImplementedError,intentional,abstract/interface placeholder or guarded exceptional path,- **High**: Any production-path `NotImplementedError` handling gaps.
docs/project_completion_tracker.md,53,TODO,defer,documentation follow-up,- [x] A4. Resolve outdated TODO/FIXME in tests and docs.
docs/project_completion_tracker.md,58,NotImplementedError,intentional,abstract/interface placeholder or guarded exceptional path,- [x] B1. Audit all `NotImplementedError` occurrences.
docs/project_completion_tracker.md,122,NotImplementedError,intentional,abstract/interface placeholder or guarded exceptional path,- Runtime-path `NotImplementedError` risks are eliminated.
